slice-number,vol
1,0.03584697116
2,0.036807516592
3,0.0366139466
4,0.035496353816
5,0.034521199328
6,0.033841878224
7,0.034817032712
8,0.028316002792
9,0.029050107856
10,0.032205663952
11,0.03182948076
12,0.033396302016
13,0.03455041744
14,0.035569399096
15,0.03539043816
16,0.035876189272
17,0.0363400268
18,0.036770993952
19,0.03584697116
20,0.036314460952
21,0.036168370392
22,0.033049336936
23,0.032607412992
24,0.028275827888
25,0.029298461808
26,0.026110035336
27,0.023352576016
28,0.021471660056
29,0.021040692904
30,0.021263481008
31,0.022275158136
32,0.022245940024
33,0.024959572176
34,0.027497895656
35,0.029137762192
36,0.030909110232
37,0.034543112912
38,0.038261117664
39,0.040934574912
40,0.045729997544
41,0.046047744512
42,0.048202580272
43,0.046756283728
44,0.043933083656
45,0.042085038072
46,0.043162455952
47,0.045477991328
48,0.046606540904
49,0.046851242592
50,0.047428300304
51,0.045620429624
52,0.044952065312
53,0.040255253808
54,0.039521148744
55,0.038231899552
56,0.0382574654
57,0.036822125648
58,0.035989409456
59,0.03438606556
60,0.030529274776
61,0.030766671936
62,0.028005560352
63,0.025372278008
64,0.024649129736
65,0.02498148576
66,0.025050878776
67,0.028662967872
68,0.033677526344
69,0.038597125952
70,0.040616827944
71,0.040930922648
72,0.042837404456
73,0.041935295248
